"PLAYER_ID","PLAYER_NAME","PERIOD","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE"
"2440","Matt Barnes","1","Missed Shot","Jump Shot","3PT","Above Break 3","24+ ft.","25","64","249","1","0",2016-10-26
"2440","Matt Barnes","1","Made Shot","Layup","2PT","Restricted Area","8- ft.","1","-11","0","1","1",2016-10-26
"2440","Matt Barnes","2","Missed Shot","Jump Shot","3PT","Above Break 3","24+ ft.","25","-2","254","1","0",2016-10-26
"2440","Matt Barnes","3","Made Shot","Jump Shot","2PT","Mid-Range","16-24 ft.","20","45","198","1","1",2016-10-26
"2440","Matt Barnes","3","Made Shot","Layup","2PT","Restricted Area","8- ft.","0","2","8","1","1",2016-10-26
"2440","Matt Barnes","4","Missed Shot","Jump Shot","3PT","Above Break 3","24+ ft.","24","155","193","1","0",2016-10-26
"2440","Matt Barnes","4","Made Shot","Jump Shot","3PT","Above Break 3","24+ ft.","25","-209","149","1","1",2016-10-26
"2440","Matt Barnes","4","Made Shot","Layup","2PT","Restricted Area","8- ft.","2","19","7","1","1",2016-10-26
"2440","Matt Barnes","4","Made Shot","Jump Shot","3PT","Above Break 3","24+ ft.","25","161","198","1","1",2016-10-26
"2440","Matt Barnes","2","Made Shot","Fadeaway","3PT","Above Break 3","24+ ft.","24","-163","183","1","1",2016-10-27
"2440","Matt Barnes","2","Missed Shot","Jump Shot","3PT","Above Break 3","24+ ft.","24","17","249","1","0",2016-10-27
"2440","Matt Barnes","3","Missed Shot","Jump Shot","3PT","Right Corner 3","24+ ft.","23","235","7","1","0",2016-10-27
"2440","Matt Barnes","4","Missed Shot","Jump Shot","2PT","Mid-Range","16-24 ft.","19","-29","193","1","0",2016-10-27
"2440","Matt Barnes","1","Missed Shot","Layup","2PT","Restricted Area","8- ft.","3","27","21","1","0",2016-10-29
"2440","Matt Barnes","1","Made Shot","Jump Shot","3PT","Above Break 3","24+ ft.","24","-76","237","1","1",2016-10-29
"2440","Matt Barnes","1","Missed Shot","Jump Shot","3PT","Above Break 3","24+ ft.","33","98","319","1","0",2016-10-29
"2440","Matt Barnes","2","Missed Shot","Jump Shot","2PT","Mid-Range","16-24 ft.","20","158","129","1","0",2016-10-29
"2440","Matt Barnes","2","Made Shot","Layup","2PT","Restricted Area","8- ft.","1","-9","11","1","1",2016-10-29
"2440","Matt Barnes","3","Made Shot","Jump Shot","3PT","Above Break 3","24+ ft.","25","164","193","1","1",2016-10-29
"2440","Matt Barnes","3","Made Shot","Jump Shot","3PT","Above Break 3","24+ ft.","25","56","244","1","1",2016-10-29
"2440","Matt Barnes","3","Missed Shot","Jump Shot","3PT","Above Break 3","24+ ft.","24","-189","160","1","0",2016-10-29
"2440","Matt Barnes","4","Missed Shot","Jump Shot","2PT","Mid-Range","8-16 ft.","13","112","67","1","0",2016-10-29
"2440","Matt Barnes","4","Missed Shot","Jump Shot","3PT","Above Break 3","24+ ft.","25","222","115","1","0",2016-10-29
"2440","Matt Barnes","1","Missed Shot","Jump Shot","2PT","Mid-Range","16-24 ft.","20","-194","56","1","0",2016-10-31
"2440","Matt Barnes","1","Missed Shot","Jump Shot","3PT","Above Break 3","24+ ft.","24","28","244","1","0",2016-10-31
"2440","Matt Barnes","1","Missed Shot","Jump Shot","3PT","Above Break 3","24+ ft.","24","97","228","1","0",2016-10-31
"2440","Matt Barnes","3","Made Shot","Jump Shot","3PT","Above Break 3","24+ ft.","24","-135","208","1","1",2016-10-31
"2440","Matt Barnes","3","Made Shot","Jump Shot","3PT","Above Break 3","24+ ft.","24","24","242","1","1",2016-10-31
"2440","Matt Barnes","4","Missed Shot","Jump Shot","3PT","Above Break 3","24+ ft.","25","166","193","1","0",2016-10-31
"2440","Matt Barnes","4","Made Shot","Jump Shot","3PT","Above Break 3","24+ ft.","24","87","232","1","1",2016-10-31
"2440","Matt Barnes","4","Made Shot","Jump Shot","3PT","Above Break 3","24+ ft.","25","191","164","1","1",2016-10-31
"2440","Matt Barnes","4","Missed Shot","Jump Shot","3PT","Right Corner 3","24+ ft.","23","232","16","1","0",2016-10-31
"2440","Matt Barnes","1","Missed Shot","Jump Shot","3PT","Left Corner 3","24+ ft.","24","-241","21","1","0",2016-11-01
"2440","Matt Barnes","1","Missed Shot","Hook Shot","2PT","Paint (Non-RA)","8-16 ft.","9","58","70","1","0",2016-11-01
"2440","Matt Barnes","2","Missed Shot","Jump Shot","3PT","Right Corner 3","24+ ft.","23","235","11","1","0",2016-11-01
"2440","Matt Barnes","2","Missed Shot","Jump Shot","3PT","Left Corner 3","24+ ft.","23","-230","31","1","0",2016-11-01
"2440","Matt Barnes","3","Missed Shot","Layup","2PT","Restricted Area","8- ft.","0","1","-5","1","0",2016-11-01
"2440","Matt Barnes","3","Missed Shot","Jump Shot","3PT","Left Corner 3","24+ ft.","23","-238","16","1","0",2016-11-01
"2440","Matt Barnes","3","Missed Shot","Jump Shot","3PT","Above Break 3","24+ ft.","24","30","239","1","0",2016-11-01
"2440","Matt Barnes","2","Made Shot","Layup","2PT","Restricted Area","8- ft.","2","4","21","1","1",2016-11-03
"2440","Matt Barnes","2","Missed Shot","Jump Shot","3PT","Above Break 3","24+ ft.","24","-169","180","1","0",2016-11-03
"2440","Matt Barnes","1","Made Shot","Jump Shot","2PT","Paint (Non-RA)","8- ft.","4","22","36","1","1",2016-11-05
"2440","Matt Barnes","1","Made Shot","Jump Shot","2PT","Mid-Range","16-24 ft.","19","194","-11","1","1",2016-11-05
"2440","Matt Barnes","1","Missed Shot","Jump Shot","2PT","Mid-Range","16-24 ft.","18","187","-5","1","0",2016-11-05
"2440","Matt Barnes","1","Missed Shot","Layup","2PT","Restricted Area","8- ft.","1","9","-5","1","0",2016-11-05
"2440","Matt Barnes","2","Missed Shot","Jump Shot","3PT","Left Corner 3","24+ ft.","24","-240","28","1","0",2016-11-05
"2440","Matt Barnes","2","Missed Shot","Jump Shot","2PT","Paint (Non-RA)","8- ft.","5","56","16","1","0",2016-11-05
"2440","Matt Barnes","2","Missed Shot","Layup","2PT","Restricted Area","8- ft.","2","20","-1","1","0",2016-11-05
"2440","Matt Barnes","1","Missed Shot","Jump Shot","3PT","Above Break 3","24+ ft.","24","-153","188","1","0",2016-11-06
"2440","Matt Barnes","1","Missed Shot","Layup","2PT","Restricted Area","8- ft.","0","-4","2","1","0",2016-11-06
"2440","Matt Barnes","1","Made Shot","Layup","2PT","Restricted Area","8- ft.","1","-4","11","1","1",2016-11-06
"2440","Matt Barnes","1","Missed Shot","Layup","2PT","Restricted Area","8- ft.","3","35","7","1","0",2016-11-06
"2440","Matt Barnes","2","Missed Shot","Jump Shot","3PT","Above Break 3","24+ ft.","24","-106","223","1","0",2016-11-06
"2440","Matt Barnes","2","Missed Shot","Jump Shot","3PT","Right Corner 3","24+ ft.","23","233","3","1","0",2016-11-06
"2440","Matt Barnes","4","Made Shot","Layup","2PT","Restricted Area","8- ft.","2","25","11","1","1",2016-11-06
"2440","Matt Barnes","1","Made Shot","Jump Shot","3PT","Right Corner 3","24+ ft.","23","233","16","1","1",2016-11-08
"2440","Matt Barnes","2","Made Shot","Jump Shot","2PT","Mid-Range","16-24 ft.","23","-109","208","1","1",2016-11-08
"2440","Matt Barnes","2","Missed Shot","Jump Shot","3PT","Left Corner 3","24+ ft.","23","-230","33","1","0",2016-11-08
"2440","Matt Barnes","3","Missed Shot","Jump Shot","3PT","Above Break 3","24+ ft.","28","-99","267","1","0",2016-11-08
"2440","Matt Barnes","3","Missed Shot","Jump Shot","3PT","Above Break 3","24+ ft.","25","-115","223","1","0",2016-11-08
"2440","Matt Barnes","1","Made Shot","Jump Shot","3PT","Above Break 3","24+ ft.","25","-197","165","1","1",2016-11-10
"2440","Matt Barnes","1","Missed Shot","Jump Shot","3PT","Above Break 3","24+ ft.","24","-215","115","1","0",2016-11-10
"2440","Matt Barnes","2","Made Shot","Layup","2PT","Restricted Area","8- ft.","2","1","21","1","1",2016-11-10
"2440","Matt Barnes","2","Made Shot","Layup","2PT","Restricted Area","8- ft.","2","-20","13","1","1",2016-11-10
"2440","Matt Barnes","3","Missed Shot","Jump Shot","3PT","Above Break 3","24+ ft.","25","-48","247","1","0",2016-11-10
"2440","Matt Barnes","4","Missed Shot","Layup","2PT","Restricted Area","8- ft.","3","33","7","1","0",2016-11-10
"2440","Matt Barnes","4","Missed Shot","Jump Shot","3PT","Above Break 3","24+ ft.","25","-34","254","1","0",2016-11-10
"2440","Matt Barnes","4","Missed Shot","Layup","2PT","Restricted Area","8- ft.","2","-6","29","1","0",2016-11-10
"2440","Matt Barnes","1","Missed Shot","Jump Shot","3PT","Above Break 3","24+ ft.","25","-83","237","1","0",2016-11-11
"2440","Matt Barnes","3","Missed Shot","Jump Shot","3PT","Above Break 3","24+ ft.","26","-181","193","1","0",2016-11-11
"2440","Matt Barnes","3","Missed Shot","Jump Shot","3PT","Left Corner 3","24+ ft.","23","-230","2","1","0",2016-11-11
"2440","Matt Barnes","3","Made Shot","Jump Shot","3PT","Right Corner 3","24+ ft.","23","232","28","1","1",2016-11-11
