Plant ID,Latitude,Longitude,Balancing Authority Code
2,33.458665,-87.35682,SOCO
3,31.0069,-88.0103,SOCO
4,32.583889,-86.28306,SOCO
7,34.0128,-85.9708,SOCO
8,33.644344,-87.19649,SOCO
9,31.7569,-106.375,EPE
10,32.6017,-87.7811,SOCO
11,33.7845,-86.0524,SOCO
12,33.2553,-87.4495,SOCO
13,32.6189,-86.2548,SOCO
14,33.425878,-86.33755,SOCO
15,32.9633,-86.5187,SOCO
16,32.680394,-85.91144,SOCO
17,32.806025,-86.44489,SOCO
18,33.9406,-87.1077,SOCO
19,32.535436,-85.88761,SOCO
20,34.172142,-85.75381,SOCO
21,32.5743,-85.8901,SOCO
26,33.244211,-86.45806,SOCO
30,44.0501,-94.4178,MISO
34,39.134259,-120.9533,CISO
38,32.100881,-87.39977,SOCO
46,34.7042,-87.1189,TVA
47,34.7439,-87.8486,TVA
48,34.421272,-86.39393,TVA
49,34.8069,-87.3819,TVA
51,32.030556,-93.56917,MISO
53,31.4033,-86.47947,AEC
54,37.8833,-84.1017,PJM
55,31.361146,-86.51831,AEC
56,31.488019,-87.91075,AEC
59,40.854765,-98.34822,SWPP
60,40.580872,-98.31244,SWPP
62,58.3176,-134.101,
63,58.3107,-134.4174,
64,58.3536,-134.4953,
65,58.3269,-134.4631,
66,59.4545,-135.3131,
69,59.235931,-135.4462,
70,55.615208,-131.3561,NA
71,57.6861,-152.895,
72,34.01135,-118.4168,CISO
75,61.2221,-149.8661,
77,61.475211,-149.1501,
78,58.1415,-133.737,
79,64.847743,-147.7351,
84,55.344641,-131.6334,
85,55.357397,-131.697,
87,35.4159,-108.082,WACM
88,41.949,-74.2063,NYIS
90,64.505331,-165.4298,
91,56.81104,-132.9571,
92,60.130922,-149.435,
93,57.0516,-135.2297,
95,56.460976,-132.3794,
96,61.1861,-151.0356,
99,47.079722,-122.365,PSEI
100,33.466477,-111.7811,SRP
104,37.147926,-119.2567,CISO
108,37.9308,-100.9725,SWPP
109,59.042914,-158.4686,
113,34.9394,-110.3033,AZPS
114,31.364122,-109.5538,AZPS
116,33.4225,-111.9122,AZPS
117,33.4417,-112.1583,AZPS
118,32.5517,-111.3,AZPS
120,32.7214,-114.7106,AZPS
124,32.252273,-110.9921,TEPC
126,32.16,-110.9047,TEPC
127,34.0825,-99.1753,SWPP
130,33.371506,-80.11324,SC
136,29.733056,-81.63278,SEC
141,33.5561,-112.2153,SRP
143,33.439375,-111.9461,SRP
145,33.5907,-111.344,SRP
147,33.3556,-111.9353,SRP
148,33.5536,-111.4431,SRP
149,33.671104,-111.1618,SRP
150,33.5661,-111.536,SRP
151,37.62936,-120.9314,BANC
152,35.197044,-114.5707,WALC
153,36.936614,-111.4839,WALC
154,36.01551,-114.738,WALC
159,40.493631,-111.3125,PACE
160,32.0603,-109.8931,WALC
161,37.611461,-120.5947,TIDC
162,37.621536,-120.7462,TIDC
165,36.190278,-95.2894,SWPP
166,34.4425,-93.0262,MISO
170,34.4341,-92.9049,MISO
172,35.6893,-89.994,MISO
174,34.4272,-92.8941,MISO
180,40.45193,-121.8622,CISO
182,36.421507,-93.84737,SPA
187,34.211913,-93.11096,MISO
188,35.5207,-91.9953,SPA
193,36.3858,-90.1867,SPA
195,34.148427,-93.71517,SWPP
196,36.2491,-92.2401,SPA
197,34.570984,-93.19443,MISO
198,36.3635,-92.5763,SPA
199,35.2503,-93.1686,SPA
201,35.462382,-93.80493,SWPP
202,35.260102,-91.36343,MISO
203,33.5648,-92.7917,MISO
204,40.1719,-88.8339,MISO
210,38.23926,-95.68978,SWPP
214,39.215979,-120.8036,CISO
215,38.071944,-120.5394,CISO
217,36.909137,-119.0877,CISO
218,36.908907,-119.0876,CISO
219,40.007445,-121.2494,CISO
220,39.91062,-121.3277,CISO
221,40.175656,-121.1907,CISO
222,40.085476,-121.1482,CISO
223,40.085997,-121.1494,CISO
224,39.788877,-121.6574,CISO
225,38.771764,-120.8132,CISO
227,40.404645,-122.1219,CISO
229,40.570817,-122.0209,CISO
231,39.825907,-121.4097,CISO
232,39.869265,-121.6318,CISO
233,39.29807,-120.8443,CISO
235,39.256873,-120.7674,CISO
236,39.257388,-120.767,CISO
237,39.216985,-120.8356,CISO
238,38.793574,-120.6192,CISO
239,38.330985,-120.6699,CISO
240,36.927424,-119.0203,CISO
241,38.956985,-121.0419,CISO
242,40.268712,-121.0895,CISO
243,40.929297,-121.5445,CISO
244,40.960675,-121.5487,CISO
246,40.7415,-124.2103,CISO
248,40.400988,-121.9655,CISO
249,40.992295,-121.9752,CISO
250,37.092486,-119.5528,CISO
253,40.677827,-121.8733,CISO
254,36.888166,-119.1588,CISO
255,39.698755,-121.571,CISO
258,37.52301,-120.3299,CISO
260,36.804837,-121.7822,CISO
261,38.147093,-120.4464,CISO
262,39.2364,-121.2717,CISO
264,38.032103,-120.3265,CISO
265,40.99084,-121.4982,CISO
266,40.997448,-121.7481,CISO
267,40.986361,-121.8494,CISO
268,40.986197,-121.9776,CISO
269,40.922568,-121.9929,CISO
270,40.847462,-121.9908,CISO
272,39.722892,-121.4698,CISO
274,39.361786,-123.1279,CISO
275,39.90521,-121.3452,CISO
276,37.203233,-119.4975,CISO
277,37.253718,-119.5194,CISO
279,38.497914,-120.2181,CISO
280,40.395396,-121.8792,CISO
281,39.324613,-120.6448,CISO
282,39.324592,-120.6454,CISO
283,39.337679,-120.6355,CISO
284,38.18653,-120.1117,CISO
285,38.139048,-120.3703,CISO
286,38.777,-122.745,CISO
287,38.449291,-120.4926,CISO
289,36.163076,-118.7071,CISO
290,40.459111,-121.8671,CISO
291,38.420898,-120.5496,CISO
292,38.889862,-121.0985,CISO
293,37.15105,-119.5047,CISO
294,41.978914,-122.3353,PACW
295,41.975716,-122.3581,PACW
296,41.985605,-122.3605,PACW
297,41.932981,-122.4368,PACW
298,31.4219,-96.2525,ERCO
299,38.4889,-112.8533,PACE
302,33.1361,-117.3364,CISO
313,56.986284,-135.1228,
314,32.673097,-115.392,IID
315,33.7688,-118.1009,CISO
316,34.0969,-118.4795,LDWP
317,37.2042,-119.2396,CISO
318,37.2,-119.3069,CISO
319,37.148517,-119.3866,CISO
320,37.139,-119.4898,CISO
321,37.2096,-119.3289,CISO
322,37.200062,-119.3068,CISO
323,37.273581,-118.5733,CISO
324,37.301962,-118.532,CISO
325,37.323035,-118.5017,CISO
326,37.3344,-118.4797,CISO
327,37.3499,-118.4628,CISO
328,35.588069,-118.5248,CISO
331,34.09118,-117.5266,CISO
332,34.155162,-117.3971,CISO
335,33.6439,-117.9792,CISO
336,36.461326,-118.8799,CISO
337,36.465066,-118.862,CISO
338,36.486059,-118.8356,CISO
339,35.776185,-118.4362,CISO
340,35.460303,-118.7796,CISO
341,33.7641,-118.2248,CISO
342,38.042729,-119.172,CISO
344,37.220302,-119.338,CISO
345,34.2067,-119.2511,CISO
350,34.1292,-119.1689,CISO
353,37.944237,-119.2161,CISO
354,37.257045,-119.1589,CISO
356,33.8504,-118.395,CISO
357,37.766954,-119.1233,CISO
358,34.0818,-117.2418,CISO
361,34.14522,-117.0585,CISO
363,34.107245,-117.0991,CISO
365,36.13568,-118.7889,CISO
371,46.4711,-119.3339,BPAT
376,38.2569,-120.8507,CISO
377,34.1556,-118.2782,LDWP
378,47.287206,-93.49827,MISO
380,37.896649,-119.9675,CISO
381,37.809388,-120.2993,CISO
382,37.877667,-119.9532,CISO
384,41.494636,-88.12383,PJM
385,32.705435,-115.031,IID
386,32.705428,-115.1261,IID
387,32.705341,-115.2191,IID
388,32.736642,-114.7139,IID
389,32.802222,-115.54,IID
390,61.0828,-146.3033,
391,37.142795,-118.3241,LDWP
392,34.587237,-118.6566,LDWP
393,37.437921,-118.557,LDWP
394,36.443421,-118.0439,LDWP
396,34.318248,-118.4944,LDWP
397,34.103931,-118.4134,LDWP
398,36.109722,-117.9567,LDWP
399,33.7706,-118.2656,LDWP
400,33.764741,-118.0991,LDWP
401,37.51,-118.5692,LDWP
402,37.41416,-118.5239,LDWP
403,34.260527,-118.3855,LDWP
404,33.918151,-118.4276,LDWP
406,63.33552,-143,
407,37.546036,-118.59,LDWP
408,34.244991,-118.3913,LDWP
409,37.584345,-120.2686,CISO
410,37.522065,-120.3101,CISO
412,39.177903,-120.8909,CISO
413,39.2184,-120.8352,CISO
414,38.202569,-120.077,CISO
415,38.246656,-120.0341,CISO
416,37.876111,-120.605,CISO
417,39.551012,-121.2788,CISO
418,39.531784,-121.4912,CISO
419,39.553811,-121.2041,CISO
421,55.47691,-133.1487,
422,34.126,-118.1494,CISO
423,55.204937,-132.8214,
424,39.077971,-120.4061,CISO
425,39.024801,-120.5964,CISO
426,39.003372,-120.7467,CISO
427,39.000999,-120.7251,CISO
428,37.477838,-120.4445,CISO
430,38.82881,-120.5371,BANC
431,38.83405,-120.5318,BANC
432,38.982697,-120.3245,BANC
433,38.896511,-120.3783,BANC
435,38.765336,-120.7874,BANC
436,34.2056,-117.3344,CISO
437,39.542985,-121.4922,CISO
438,39.514893,-121.6301,CISO
439,37.695994,-120.4202,TIDC
440,37.6697,-120.4436,TIDC
441,38.70675,-121.1584,WALC
442,40.646934,-122.627,WALC
443,40.611858,-122.4464,WALC
444,38.63735,-121.2202,WALC
445,40.717455,-122.4223,WALC
446,37.098671,-121.0477,WALC
447,34.295334,-114.1402,WALC
448,37.0692,-121.0772,CISO
450,40.628115,-122.4675,WALC
451,40.797296,-122.7626,WALC
454,39.330833,-121.1917,CISO
455,39.238996,-121.2704,CISO
457,33.166246,-117.0166,CISO
460,38.2667,-104.6144,PSCO
464,37.4594,-105.8947,PSCO
466,40.004725,-105.3325,PSCO
467,39.6551,-105.7088,PSCO
469,39.807275,-104.9645,PSCO
470,38.2081,-104.5747,WACM
471,39.1364,-108.7347,PSCO
472,39.6919,-105.6978,PSCO
473,39.101667,-108.3456,PSCO
474,38.53419,-106.182,PSCO
476,39.57013,-107.2269,PSCO
477,40.0195,-105.202,PSCO
479,33.8343,-117.4971,CISO
480,33.85895,-117.6106,CISO
481,33.8361,-117.1831,CISO
482,34.004722,-118.0992,CISO
483,33.92493,-117.9552,CISO
484,33.3944,-117.1889,CISO
487,33.9001,-117.8291,CISO
489,37.6508,-120.4706,TIDC
491,37.753606,-106.1047,PSCO
492,38.824444,-104.8333,WACM
493,38.881389,-104.8169,WACM
494,38.855556,-104.9331,WACM
495,38.841354,-104.9738,WACM
502,38.032717,-102.0737,WACM
504,40.9505,-102.2795,WACM
505,43.417872,-108.1775,WAUW
506,37.9876,-103.5468,PSCO
507,38.0647,-103.2159,WACM
508,38.033327,-102.5379,PSCO
510,38.7903,-122.7559,CISO
511,37.178979,-104.4875,WACM
512,38.453191,-107.3375,WACM
513,40.376771,-105.5097,WACM
514,38.451753,-107.5393,WACM
515,40.421031,-105.2238,WACM
516,39.878805,-106.3327,WACM
517,40.34408,-105.5343,WACM
518,40.364996,-105.236,WACM
519,40.365056,-105.3251,WACM
520,39.19366,-108.0441,WACM
521,39.143808,-108.0048,WACM
525,40.4856,-107.185,PSCO
527,38.2383,-108.5069,WACM
531,39.048802,-121.317,CISO
533,31.400255,-86.47645,AEC
534,38.850283,-120.3819,BANC
535,38.652731,-121.3933,BANC
537,38.2268,-121.0245,CISO
539,41.5826,-73.4349,ISNE
540,41.2925,-72.7942,ISNE
541,41.659046,-73.49198,ISNE
542,41.0289,-73.5989,ISNE
544,41.209797,-73.10898,ISNE
546,41.4281,-72.1019,ISNE
547,42.610683,-72.47164,ISNE
550,48.620336,-118.1111,AVA
551,41.6651,-72.1221,ISNE
552,41.44842,-73.29532,ISNE
553,41.3833,-73.1714,ISNE
554,41.5725,-72.0458,ISNE
557,41.555425,-72.04183,ISNE
559,41.915312,-72.69362,ISNE
560,41.957272,-73.3693,ISNE
561,41.798943,-73.11627,ISNE
562,41.554944,-72.57908,ISNE
563,41.7495,-72.6524,ISNE
564,28.4822,-81.1678,FMPP
565,41.776109,-73.12089,ISNE
566,41.3107,-72.1677,ISNE
568,41.1706,-73.1844,ISNE
579,41.828814,-74.13188,NYIS
581,41.52679,-72.06494,ISNE
583,41.538955,-72.05094,ISNE
584,36.8061,-107.6131,WACM
585,32.711611,-114.9427,IID
586,32.699451,-115.2825,IID
589,44.4917,-73.20806,ISNE
591,39.7302,-75.5371,PJM
592,39.600408,-75.62681,PJM
593,39.73886,-75.50384,PJM
594,38.5857,-75.2341,PJM
597,39.7283,-75.6289,PJM
599,39.176222,-75.54663,PJM
602,39.18,-76.5389,PJM
607,48.4558,-122.4358,PSEI
609,28.4698,-80.7644,FPL
612,26.6967,-81.7831,FPL
613,26.0686,-80.1984,FPL
617,26.0856,-80.1253,FPL
619,26.7653,-80.0525,FPL
620,28.8419,-81.3256,FPL
621,25.4356,-80.3308,FPL
622,47.699167,-121.7833,SCL
624,27.579444,-81.49278,FPC
625,42.9126,-73.6805,NYIS
626,40.07531,-121.1614,CISO
627,27.758056,-82.63528,FPC
628,28.9656,-82.6977,FPC
630,28.003262,-82.66151,FPC
632,38.835182,-121.093,CISO
634,27.859535,-82.60176,FPC
638,30.376389,-83.18056,FPC
641,30.5661,-87.2244,SOCO
643,30.2686,-85.7003,SOCO
645,27.7944,-82.4036,TEC
649,33.1427,-81.7625,SOCO
663,29.7592,-82.3878,GVL
664,29.6461,-82.3208,GVL
665,25.4756,-80.47,HST
666,30.364818,-81.62597,JEA
667,30.4172,-81.5525,JEA
673,26.612767,-80.0677,FMPP
674,43.219017,-108.7877,WAUW
675,28.0797,-81.9228,FMPP
676,28.0801,-81.9229,FMPP
678,44.625282,-72.53086,ISNE
682,37.071846,-119.558,CISO
683,28.493232,-80.78012,FMPP
688,30.4522,-84.4,TAL
689,30.162304,-84.20067,TAL
690,30.708571,-84.86387,FPL
692,41.835278,-106.2428,WAUW
696,24.710833,-81.0927,FPL
698,40.0786,-93.635,SWPP
702,32.661976,-85.09155,SOCO
703,34.1256,-84.9222,SOCO
704,34.7939,-83.5406,SOCO
706,31.6028,-84.1376,SOCO
707,32.60965,-85.0805,SOCO
708,34.2528,-85.3456,SOCO
710,33.8239,-84.4758,SOCO
711,32.813836,-85.16779,SOCO
712,33.320773,-83.84192,SOCO
714,39.893491,-121.5934,CISO
715,31.213645,-81.54617,SOCO
717,33.9684,-84.3827,SOCO
718,34.755269,-83.50107,SOCO
719,32.498791,-84.99559,SOCO
720,32.5163,-84.9969,SOCO
722,33.1403,-83.2028,SOCO
723,34.731332,-83.37548,SOCO
724,34.7504,-83.4063,SOCO
725,34.7133,-83.3519,SOCO
728,33.4622,-84.8986,SOCO
729,34.681477,-83.34264,SOCO
732,32.0411,-81.145,SOCO
736,33.562644,-82.05124,SCEG
745,34.10345,-117.5257,CISO
751,37.816447,-120.312,CISO
752,31.847697,-83.942,SOCO
753,31.844708,-83.94073,SOCO
754,34.3564,-82.8219,SEPA
757,34.883889,-84.28222,TVA
758,34.959153,-84.08765,TVA
759,34.162279,-84.07737,SOCO
760,34.1637,-84.7282,SOCO
761,31.624501,-85.06524,SOCO
762,36.71979,-97.08576,SWPP
765,21.356395,-158.1289,
766,21.388997,-157.9615,
768,20.0252,-155.6955,
769,19.7052,-155.0625,
771,19.7264,-155.0908,
772,19.7041,-155.0607,
774,19.7203,-155.1189,
776,39.580413,-121.1195,CISO
785,41.2114,-101.6681,SWPP
788,44.326335,-72.03589,ISNE
789,60.555889,-145.753,
790,43.420221,-112.1019,PACE
791,29.87056,-98.19473,ERCO
792,21.106,-157.0647,
794,33.068473,-96.96381,ERCO
805,44.099461,-70.22085,ISNE
808,43.3121,-75.109,NYIS
809,42.7778,-112.8764,IPCO
810,42.913786,-115.071,IPCO
811,44.8367,-116.8975,IPCO
812,42.944869,-115.9779,IPCO
813,44.5256,-116.0483,IPCO
814,42.66701,-114.7801,IPCO
815,42.865783,-114.9062,IPCO
816,42.841608,-114.9036,IPCO
817,45.183368,-113.8853,IPCO
818,42.5975,-114.4033,IPCO
819,43.2435,-116.3791,IPCO
820,42.740542,-114.8367,IPCO
821,42.5892,-114.3553,IPCO
822,42.767422,-114.9247,IPCO
823,42.864267,-114.8855,IPCO
825,44.07863,-111.4973,PACE
827,42.53675,-111.794,PACE
829,42.267774,-111.7485,PACE
831,42.64455,-111.6967,PACE
833,48.084444,-116.0531,AVA
835,47.703333,-116.9539,AVA
839,39.272108,-120.9325,CISO
840,46.5143,-116.2977,BPAT
841,43.491398,-112.0454,PACE
843,43.468398,-112.0626,PACE
844,43.552695,-112.051,PACE
846,39.0096,-121.0591,CISO
850,43.334849,-111.2058,BPAT
851,48.180245,-116.9986,BPAT
856,40.5958,-89.6631,MISO
861,39.0586,-89.4031,MISO
862,37.6577,-89.51116,MISO
869,41.39,-88.27,PJM
874,41.4931,-88.1153,PJM
876,39.590556,-89.49639,PJM
879,40.5408,-89.6786,PJM
880,41.726111,-90.31028,PJM
883,42.3833,-87.8133,PJM
884,41.6334,-88.0629,PJM
886,41.8508,-87.6533,PJM
